id,study,author,journal,year,species,taxonomic,transmission_type,offspring_generation,acclimating,parental_developmental_stages,offspring_developmental_stages,test.env.detail,test.env,alter.env.detail,alter.env,is.natural,environmental_context,merged environment,trait.detail,trait,neg.fitness,n1,n2,avg1,avg2,sd1,sd2,rep,RRdeta,var.RRdeta),Geary.test.1,Geary.test.2,acclimating,reciprocal,days to maturation
1,1,Guillaume et al.,Functional Ecology,2016,Galeolaria_caespitosa,invertebrates,2paternal,F1,F1,3adult,2juvenile,cool env,natural factor,warm env,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,larval survival,4survival,0,9,9,22.626,23.229,9.4367,2.812,18,-0.017452051,0.021144171,6.998575716,24.11222175,F1,1,NA
2,1,Guillaume et al.,Functional Ecology,2016,Galeolaria_caespitosa,invertebrates,2paternal,F1,F1,3adult,2juvenile,warm env,control,cool env,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,larval survival,4survival,0,9,9,26.24,24.207,2.188,2.919,55,0.080221571,0.002389787,35.0056821,24.2063276,F1,1,NA
3,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Not continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,biomass,2morphological,0,5,5,0.406,0.355,0.042,0.042,58,0.133905802,0.004945963,20.58602265,18.0000937,Not continuously,0,42
4,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,biomass(mg),2morphological,0,5,5,0.448,0.454,0.042,0.042,58,-0.013280888,0.00347248,22.7156112,23.01983814,Continuously,1,42
5,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Not continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,flowering time,3life_history,1,5,5,33.679,33.741,1.25,2.236,11,0.002140629,0.00115426,57.37793022,32.13526264,Not continuously,1,42
6,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg),2morphological,0,5,5,0.6,0.648,0.065,0.056,63,-0.076534267,0.003844767,19.65774046,24.64238179,Continuously,1,42
7,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Continuously,2juvenile,3adult,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,biomass(mg) in field,2morphological,0,5,5,5.78,5.84,0.223,0.358,63,-0.010554048,0.001049602,55.19740726,34.73965679,Continuously,0,42
8,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Continuously,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter,2morphological,0,5,5,95.475,97.547,2.954,2.954,63,-0.021465856,0.000374902,68.82954191,70.32328175,Continuously,1,42
9,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Continuously,2juvenile,2juvenile,control,control,salt,natural factor,Naturally-occurring fluctuations,2relatively_favourable,More favorable environment,rosette diameter in field,2morphological,0,5,5,38.679,37.829,1.699,1.699,63,0.022212045,0.000789477,48.48166894,47.41624794,Continuously,0,42
10,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F3,Not continuously,2juvenile,2juvenile,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,rosette diameter,2morphological,0,5,5,19.647,18.243,2.746,1.961,58,0.074941208,0.00622822,15.2367175,19.81136355,Not continuously,1,42
11,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Not continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,biomass,2morphological,0,5,5,0.427,0.359,0.031,0.031,58,0.173243045,0.002547104,29.33336487,24.66200934,Not continuously,0,42
12,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Not continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,biomass,2morphological,0,5,5,3.392,3.112,0.1,0.1,58,0.086137768,0.000380378,72.23564362,66.27279568,Not continuously,0,42
13,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,biomass(mg),2morphological,0,5,5,0.454,0.45,0.042,0.042,58,0.008834333,0.003456862,23.01983814,22.81702018,Continuously,1,42
14,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,biomass(mg),2morphological,0,5,5,0.448,0.45,0.042,0.042,58,-0.004446555,0.003503097,22.7156112,22.81702018,Continuously,1,42
15,2,Groot et al.,Plos One,2016,Arabidopsis_thaliana,annual_plants,3biparental,F2,Not continuously,2juvenile,3adult,salt,natural factor,control,control,Naturally-occurring fluctuations,1more_stressful,More stressful environment,flowering time,3life_history,1,5,5,33.5,33.679,1.25,1.084,11,0.005293425,0.000485709,57.07297314,66.16458743,Not continuously,1,42
