"","id","study","author","journal","year","species","taxonomic","transmission_type","offspring_generation","acclimating","parental_developmental_stages","offspring_developmental_stages","test.env.detail","test.env","alter.env.detail","alter.env","is.natural","environmental_context","merged.environment","trait.detail","trait","neg.fitness","n1","n2","avg1","avg2","sd1","sd2","rep","RRdeta","var.RRdeta.","Geary.test.1","Geary.test.2","acclimating.1","reciprocal","days.to.maturation","duplicated.row","species.2","avg1_sd1_n1","num.shared.control.1","n1.adjusted","avg2_sd2_n2","num.shared.control.2","n2.adjusted","yi","vi","yi.adj","vi.adj"
"1",1,1,"Guillaume et al.","Functional Ecology",2016,"Galeolaria_caespitosa","invertebrates","2paternal","F1","F1","3adult","2juvenile","cool env","natural factor","warm env","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","larval survival","4survival",0,9,9,22.626,23.229,9.4367,2.812,18,-0.017452051,0.021144171,6.998575716,24.11222175,"F1",1,NA,FALSE,"Galeolaria caespitosa","22.626_9.4367_9",1,9,"23.229_2.812_9",1,9,-0.0174520512950448,0.0211441709901931,-0.0174520512950448,0.0211441709901931
"2",2,1,"Guillaume et al.","Functional Ecology",2016,"Galeolaria_caespitosa","invertebrates","2paternal","F1","F1","3adult","2juvenile","warm env","control","cool env","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","larval survival","4survival",0,9,9,26.24,24.207,2.188,2.919,55,0.080221571,0.002389787,35.0056821,24.2063276,"F1",1,NA,FALSE,"Galeolaria caespitosa","26.24_2.188_9",1,9,"24.207_2.919_9",1,9,0.0802215712383746,0.00238978657462167,0.0802215712383746,0.00238978657462167
"3",3,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F3","Not continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","biomass","2morphological",0,5,5,0.406,0.355,0.042,0.042,58,0.133905802,0.004945963,20.58602265,18.0000937,"Not continuously",0,42,FALSE,"Arabidopsis thaliana","0.406_0.042_5",1,5,"0.355_0.042_5",1,5,0.133905802426874,0.00494596261696721,0.133905802426874,0.00494596261696721
"4",4,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F3","Continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","biomass(mg)","2morphological",0,5,5,0.448,0.454,0.042,0.042,58,-0.013280888,0.00347248,22.7156112,23.01983814,"Continuously",1,42,FALSE,"Arabidopsis thaliana","0.448_0.042_5",3,1.66666666666667,"0.454_0.042_5",1,5,-0.0132808881329853,0.00347247985135887,-0.0115230756329853,0.0070004644704995
"5",5,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F3","Not continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","flowering time","3life_history",1,5,5,33.679,33.741,1.25,2.236,11,0.002140629,0.00115426,57.37793022,32.13526264,"Not continuously",1,42,FALSE,"Arabidopsis thaliana","33.679_1.25_5",1,5,"33.741_2.236_5",1,5,0.00214062916014966,0.00115426000934781,0.00214062916014966,0.00115426000934781
"6",6,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F3","Continuously","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg)","2morphological",0,5,5,0.6,0.648,0.065,0.056,63,-0.076534267,0.003844767,19.65774046,24.64238179,"Continuously",1,42,FALSE,"Arabidopsis thaliana","0.6_0.065_5",6,0.833333333333333,"0.648_0.056_5",1,5,-0.0765342673973691,0.0038447672251275,-0.0706662118418135,0.0156772937490473
"7",7,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F3","Continuously","2juvenile","3adult","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","biomass(mg) in field","2morphological",0,5,5,5.78,5.84,0.223,0.358,63,-0.010554048,0.001049602,55.19740726,34.73965679,"Continuously",0,42,FALSE,"Arabidopsis thaliana","5.78_0.223_5",6,0.833333333333333,"5.84_0.358_5",1,5,-0.0105540481647793,0.00104960190460852,-0.00980978923588716,0.00253967074218185
"8",8,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F3","Continuously","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter","2morphological",0,5,5,95.475,97.547,2.954,2.954,63,-0.021465856,0.000374902,68.82954191,70.32328175,"Continuously",1,42,FALSE,"Arabidopsis thaliana","95.475_2.954_5",6,0.833333333333333,"97.547_2.954_5",1,5,-0.0214658564658676,0.000374902376905926,-0.0209872135316433,0.00133282972271826
"9",9,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F3","Continuously","2juvenile","2juvenile","control","control","salt","natural factor","Naturally-occurring fluctuations","2relatively_favourable","More favorable environment","rosette diameter in field","2morphological",0,5,5,38.679,37.829,1.699,1.699,63,0.022212045,0.000789477,48.48166894,47.41624794,"Continuously",0,42,FALSE,"Arabidopsis thaliana","38.679_1.699_5",6,0.833333333333333,"37.829_1.699_5",1,5,0.0222120446101817,0.000789477204807681,0.023176775728446,0.00272154541850174
"10",10,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F3","Not continuously","2juvenile","2juvenile","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","rosette diameter","2morphological",0,5,5,19.647,18.243,2.746,1.961,58,0.074941208,0.00622822,15.2367175,19.81136355,"Not continuously",1,42,FALSE,"Arabidopsis thaliana","19.647_2.746_5",1,5,"18.243_1.961_5",1,5,0.0749412076929427,0.00622822015163405,0.0749412076929427,0.00622822015163405
"11",11,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Not continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","biomass","2morphological",0,5,5,0.427,0.359,0.031,0.031,58,0.173243045,0.002547104,29.33336487,24.66200934,"Not continuously",0,42,FALSE,"Arabidopsis thaliana","0.427_0.031_5",1,5,"0.359_0.031_5",1,5,0.173243044852288,0.00254710416145871,0.173243044852288,0.00254710416145871
"12",12,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Not continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","biomass","2morphological",0,5,5,3.392,3.112,0.1,0.1,58,0.086137768,0.000380378,72.23564362,66.27279568,"Not continuously",0,42,FALSE,"Arabidopsis thaliana","3.392_0.1_5",1,5,"3.112_0.1_5",1,5,0.0861377680144345,0.000380378489667814,0.0861377680144345,0.000380378489667814
"13",13,2,"Groot et al.","Plos One",2016,"Arabidopsis_thaliana","annual_plants","3biparental","F2","Continuously","2juvenile","3adult","salt","natural factor","control","control","Naturally-occurring fluctuations","1more_stressful","More stressful environment","biomass(mg)","2morphological",0,5,5,0.454,0.45,0.042,0.042,58,0.008834333,0.003456862,23.01983814,22.81702018,"Continuously",1,42,FALSE,"Arabidopsis thaliana","0.454_0.042_5",2,2.5,"0.45_0.042_5",2,2.5,0.00883433292249397,0.00345686229032432,0.00881905056800535,0.00691968969036289
